Title,docking score
Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(N[C@@H](C4CC4)C(F)(F)F)c23)cn1,-8.05
NCCc1nc2cc(C(N)=O)ccc2n1CCN,-8.565
CC(=O)N1CCC(Nc2cc[nH]c(=O)c2-c2nc3ccccc3[nH]2)CC1,-9.45
OCCNCC1CC1,-2.695
CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cccc(Cn4nnc5ccccc54)c3)n2)CC1,-7.076
NCCC(=O)NCC(N)C(=O)O,-4.37
COc1ccc(Nc2nc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)n3n2)cc1,-9.833
O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)[C@H]1CCNC1,-6.505
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(S(=O)(=O)c2ccco2)CC1,-7.475
O=C(NCCc1ccn(-c2ccccc2)n1)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,-8.126
CN(C)CCC(=O)OCO,-3.227
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(Cc2ccc(C#N)cc2)CC1,-8.141
CC(=O)OCCO,-3.844
C[C@]1(C#N)CS(=O)(=O)CC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,-8.747
N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCC(NCc2ccncc2)CC1,-8.249
NC(=O)c1cc(N2CCOCC2)nc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12,-7.736
NC(CC(N)C(=O)O)C(=O)O,-4.083
O=C(NCc1ccccc1F)C1CC1,-6.07
Nc1ncc2nc3nc[nH]c3cc2n1,-7.787
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OC)c23)ccc1F,-7.465
OCC(O)C(O)C1OCC(O)CO1,-5.857
CC(=O)NCC(O)CO,-3.02
COc1ccc(cc1)N1CC(=O)NC(=O)C1,-5.965
COCc1ccccc1-c1cccc2nc(Nc3ccc4c(c3)CCN(C(=O)OC(C)(C)C)CC4)nn12,-8.038
CN(c1ccc(C#N)cn1)[C@H]1CCN(c2ncnc3[nH]ccc23)C1,-8.578
O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1CC(O)C3,-8.641
CNc1cc(-n2cc(C(N)=O)c(-c3cc(Cl)ccc3C)c2)ncn1,-9.514
OCC(O)CN(Cc1ccccc1)CN1CCOCC1,-6.043
O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,-8.111
FC(F)(F)Oc1ccc(NC[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)cc1,-8.007
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1.Cl,-6.702
O=C(CCCCCCn1cc(Nc2ncc(Cl)c(NC3CC3)n2)cn1)NO,-8.31
CCCC(NC(=O)C(N)Cc1ccccc1)C(O)CC(O)C(O)C(O)CC(=O)O,-6.181
N#C[C@H]1C[C@H](N2CCC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)F)nc2)n1,-5.591
NC(=O)NCc1ccccc1,-6.575
N#Cc1ccc(N2CCC(Nc3c(C(N)=O)cnc4[nH]ccc34)CC2)nc1,-8.577
Clc1cnccc1CN1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,-8.867
O=C(O)CCC(=O)OCO,-3.404
Cc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1-c1cc2cc(COCC(F)(F)F)ccc2o1,-6.179
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)[C@@H](C#N)C1,-8.215
O=C(CC(F)(F)F)N(CC(F)(F)F)C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,-8.478
CN(c1ccc(-c2cccn3nc(Nc4ccc(CN5CCS(=O)(=O)CC5)cc4)nc23)cc1)S(C)(=O)=O,-9.925
COC(=O)CC(=O)NCC(O)O,-4.297
CCCC(=O)N(C)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,-9.036
C[C@]1(C#N)CS(=O)(=O)C[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,-8.566
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(C(=O)c2cccnc2)CC1,-7.822
CCOC(=O)Nc1ccccc1,-5.165
CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(N5CCN(CCCF)CC5)c4)nc23)cc1,-9.607
OCCNCc1ccccc1C(F)(F)F,-6.344
FC1(F)Oc2ccc(NC[C@H]3CC[C@H](c4nnn5cnc6[nH]ccc6c45)CC3)cc2O1,-8.983
COc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1cc(C(=O)Nc2cccc(C(F)(F)F)c2F)ccc1C,-5.444
O=C(NOC1C(=O)CCN(CCCOc2ccc1cc2)c1ccccc1)c1ccccc1,-5.988
CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C(N)=O)c1OC,-8.407
C[C@@H]1CN(C(=O)C2(C#N)CCC2)C[C@@H]1Nc1c(C(N)=O)cnn2cc(-c3cnn(C)c3)nc12,-8.543
CCOC(=O)c1c[nH]c2ncnc(-c3ccc4c(c3)CCN4)c12,-7.761
Nc1cc(-c2ccc3[nH]ncc3c2)nc2sc3ccc(F)cc3c12,-7.783
CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@H](CS(N)(=O)=O)C2)CC1,-8.081
CN1CCN(CCCNC(=O)NCCCCC(N)=O)c2ccccc21,-6.257
CNC(=O)CCC(O)O,-4.25
NC(CO)C(F)(F)F,-4.632
C=CC(=O)Nc1cccc(CNc2ccnc(Nc3ccc(N4CCN(C)CC4)cc3OC)n2)c1,-7.74
CN(C)[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,-9.95
O=C(O)CC(O)C(F)(F)F,-4.685
COc1ccc(-c2cccc3nc(Nc4ccc(N5CCN(C)CC5)cc4)nn23)cc1,-9.849
NCCNC(=O)NC1CCCC1,-5.464
O=C1OC(C(O)CO)C(O)C1O,-5.365
N#C[C@H]1C[C@@H](C(=O)N2CC(F)C2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,-8.044
CNc1nc2c(cc(C(=O)N(C)C3CC3)n2C[C@H](O)CO)c2c1ncn2C,-8.926
O=C(O)CC(=O)NC(CO)C(=O)O,-3.898
O=C1Nc2ccccc2-c2ccnc3[nH]cc(c23)C1c1ccc(O)cc1,-7.639
N=C(N)NCCNC(=N)N,-1.776
COc1ccccc1C(=O)N1CCN(CC1)C(=O)CO,-6.269
O=C(Nc1c[nH]nc1-c1cccc(Cl)c1)c1cnn2cccnc12,-8.06
C[C@H](OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1)C1CC1,-7.307
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4cc(C(=O)c5ccc(Oc6ccccc6F)cc5OCC(C)NN)cnc4[nH]3)n[nH]c2c1,-6.601
C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6ccc(N7CCN(C)CC7)cc6)cc5c43)cc21,-6.477
CN(c1ccc(C(F)(F)F)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,-8.382
N=C(N)Nc1ccccc1,-5.017
CCOCCNC(N)=O,-3.34
CN(c1ncccc1CNc1cccn2nc(Nc3ccc(N4CCN(CCO)CC4)cc3)nc12)S(C)(=O)=O,-8.877
NC(=O)COCc1ccccc1F,-6.38
CN1CCN(CC1)C(=O)C(O)c1ccccc1,-5.803
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4ccncc4)c23)c1,-7.577
CN[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,-8.583
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(Cc2cc3ccccc3o2)CC1,-5.581
N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(Cc2cccc(C#N)c2)CC1,-6.805
CC(=O)OCCOC(N)=S,-5.054
CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CCC(F)(F)F)C1,-8.507
CCN(CCC(F)(F)F)C(=O)C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,-7.591
FC(F)(F)C(F)(F)CN[C@H]1CC[C@@H](c2nnn3cnc4[nH]ccc4c23)CC1,-8.712
O=C(CCCCNC(=O)COc1ccccc1)NO,-2.806
C=CCNCCNC(=O)NCCOC,-0.005
CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cccc(Cl)c4)cc23)CC[C@]1(C)N,-9.262
CNCC1CC1c1ccc(cc1)-c1ccccc1,-6.524
COc1ccc(C2=Nn3c(nnc3C3CCCCC3)SC2)cc1OC,-6.776
CN1CCN(c2cccc(Nc3nc4c(-c5cccc(CN(C)S(C)(=O)=O)c5)cccn4n3)c2)CC1,-6.097
CC(Oc1cc(-c2cccc(C3CCNCC3)c2)cnc1N)c1cc(F)ccc1Cl,-8.918
CN(C)CC(=O)OCC(=O)O,-3.671
CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cccnc3)n2)CC1,-8.106
NC(=O)COC(O)C(O)CO,-3.678
CC1(COC(=O)N2CC[C@H](n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)[C@H](C#N)C2)COC1,-8.501
CNCC1OCC(O)C1O,-4.403
CC(=O)N[C@@H]1CCc2ccc(Oc3cnc4[nH]cc(C(=O)N[C@H](C)C(=O)N5CC(C#N)C5)c4n3)cc21,-6.815
CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)N2CC[C@H](C#N)C2)C1,-9.168
CN1CCN(c2cccc(Nc3nc4c(NCc5cccnc5)cccn4n3)c2)CC1,-8.657
COc1ccccc1CNC(=O)CC1CCCCC1,-3.556
O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccc(CN5CCOCC5)cc4)c3)cc12,-5.601
CCNC(=O)c1ccc(Nc2nccc(N3C[C@@H]4CC[C@H]3CN4C(=O)C3CC3)n2)cc1,-7.667
N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCN(c2ccc(OC(F)F)nc2)CC1,-8.336
