Title,docking score
N#C[C@H]1C[C@H](N2CCC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)F)nc2)n1,-5.591
CCOC(=O)c1c[nH]c2ncnc(-c3ccc4cn(C)nc4c3)c12,-6.867
CC1CCN(C(=O)OC(C)(C)C)CC1c1nnn2cnc3[nH]ccc3c12,-4.258
N#CCC1(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)CCN(C(=O)OC2COC2)CC1,-7.603
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CN(C(=O)NC2CCCCC2)C1,-7.636
CN(C(=O)C1(C#N)CC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,-8.93
CC(C)CCC1CCC(C)CC1N(C)c1ncnc2[nH]ccc12,-4.128
CC(C)COC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,-7.28
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,-5.993
N#C[C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc([C@@H](O)C(F)(F)F)nc2)n1,-9.126
N#CCC1(n2cc(C(N)=O)c(Nc3cccnc3)n2)CCN(C(=O)OCC(F)(F)F)CC1,-7.79
CN(C)[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,-9.95
O=C(Nc1nc2cccc(-c3ccc(Cl)cc3)n2n1)C1CC1,-8.951
CC(C)(C)CS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,-9.524
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)F)cc3)n2)[C@@H](C#N)C1,-8.464
O=c1[nH]ccc(NC2CCN(Cc3ccccc3)CC2)c1-c1nc2ccccc2[nH]1,-9.38
N#C[C@H]1C[C@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C3CC3)cc2)n1,-8.774
COc1ccc(Nc2nc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)n3n2)cc1,-9.833
N#C[C@@H]1C(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCC[C@@H]1O,-9.029
Cc1cccc(-c2cc3c(N[C@@H]4CCC[C@]4(C)F)c(C(N)=O)cnn3c2)c1,-8.944
N#C[C@@H]1CN(C(=O)OCC(F)(F)F)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,-6.625
Cc1ccc(NC(=O)CC2CCCC2)cc1N1CCc2nc(Nc3ccc(OCCN4CCCC4)cc3)ncc2C1,-3.036
CNC(=O)c1ccc(-c2cc3c(N[C@@H]4C[C@@H]5CN(C(=O)C(C)(C)O)C[C@@H]5[C@H]4C)c(C(N)=O)cnn3c2)cn1,-9.253
O=C(CCCCCCCn1cc(Nc2ncc(Cl)c(Nc3ccc(F)cc3)n2)cn1)NO,-8.228
N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(Cc2cc3ccccc3[nH]2)CC1,-5.964
Cc1cnc(Nc2cnn(C)c2)nc1NC1COC2C(O)COC12,-8.448
N#CC[C@H]1CC[C@H](n2c(=O)[nH]c3cnc(Nc4ccc[nH]c4=O)nc32)CC1,-9.498
Cc1cccc(Nc2ccnc(Nc3ccc(N4CCN(C)CC4)c(C)c3)n2)c1,-7.906
Cc1c(-c2c(Cl)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)[nH]c2c(F)cccc2c1=O,-6.678
CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCSC2)CC1,-8.732
C[C@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc(-c2ncnc3c2cc(C(=O)OCc2ccccc2)n3C)cc1,-6.755
CC1(C)CN(c2ncc(C#N)cn2)CC[C@H]1Nc1c(C(N)=O)cnn2cc(N3CCC(CCCC(=O)O)C3=O)cc12,-9.614
CC(C)(C)NS(=O)(=O)c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1,-6.537
COc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cn1,-10.007
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)[C@@H](C#N)C1,-8.215
CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C(C)C)C(C)C,-7.836
CCNc1ccccc1C(=O)Nc1ccc2[nH]ncc2c1,-6.4
